PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Population_Within,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Yes_HealthBased,All_Violations
1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,34652,6.135288006,31.20454808,15.66431952,10.49578668,Private,9859,Urban,0,0
1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,1,0,0,0,0,Private,1,Rural,4,16
1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,5525,3.294117647,8.416289593,1.828054299,2.606334842,Private,2141,Urban,1,2
1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,33,3.03030303,6.060606061,0,3.03030303,Private,231,Urban,1,18
1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,21738,4.595638973,18.5711657,0,5.018860981,Local government,7634,Urban,2,4
1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,51710,3.699477857,12.67259718,3.859988397,6.298588281,Local government,19617,Urban,0,7
1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,12063,3.299345105,31.91577551,14.55690956,10.07212136,Local government,4231,Urban,11,53
1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,24430,2.918542775,12.87351617,0.753172329,3.323782235,Public/Private,10226,Urban,0,4
1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,9288,4.295865633,3.994401378,1.259689922,1.658053402,Local government,3821,Urban,0,0
1090048,RED CLIFF MHP,Bucks,Ground water,30,3,1,0,0,0,0,Private,30,Urban,1,3
1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,3,0,0,0,0,Private,5,Rural,0,12
1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,34,2.941176471,5.882352941,2.941176471,2.941176471,Private,20,Rural,0,2
1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,103,3.883495146,12.62135922,0.970873786,5.825242718,Private,400,Urban,0,9
1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,7,0,14.28571429,0,0,Private,42,Rural,0,15
1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,126,2.380952381,11.9047619,3.174603175,5.555555556,Local government,469,Urban,3,44
1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,104,3.846153846,6.730769231,0,3.846153846,Local government,402,Rural,0,22
1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,9,0,11.11111111,0,0,Private,51,Urban,1,5
1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14922,2.372336148,5.274091945,0.174239378,1.82951347,Local government,5100,Urban,3,85
1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,60,5,6.666666667,0,1.666666667,Local government,196,Rural,0,3
1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,33356,3.033936923,14.51313107,2.674181557,8.517208298,Local government,9700,Urban,0,3
1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,33,23672,4.220175735,17.29469415,1.748901656,5.441027374,Local government,6695,Urban,4,45
1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,32081,2.119634675,14.51638041,2.471868084,3.089055827,Private,12167,Urban,0,2
1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,60729,4.203922344,29.13435097,7.278236098,7.322695911,Local government,14000,Urban,0,0
1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,47106,2.999617883,13.6203456,4.680932365,3.243748142,Local government,15800,Urban,3,10
1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,7680,4.153645833,8.619791667,1.471354167,4.765625,Local government,3069,Urban,1,11
1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,9062,4.667843743,10.67093357,3.299492386,5.716177444,Local government,3551,Urban,0,5
1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,904,1.769911504,12.05752212,5.973451327,2.544247788,Public/Private,41,Urban,0,38
1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,39740,2.043281329,8.407146452,0.541016608,1.638147962,Local government,10222,Urban,0,49
1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,162,1.234567901,6.790123457,1.851851852,3.086419753,Local government,392,Urban,0,18
1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,458,1.528384279,12.44541485,6.331877729,2.401746725,Public/Private,18,Urban,0,48
1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,72,2.777777778,4.166666667,1.388888889,1.388888889,Public/Private,309,Urban,0,35
1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,100,3,4,1,1,Public/Private,320,Urban,0,96
1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,55,3.636363636,12.72727273,0,3.636363636,Local government,60,Urban,6,31
1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,6,0,16.66666667,0,0,Public/Private,72,Urban,3,39
1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,1,0,0,0,0,Public/Private,49,Urban,0,41
1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,8,0,12.5,0,0,Public/Private,64,Rural,0,93
1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,336,2.976190476,7.738095238,0,3.571428571,Local government,1100,Urban,0,2
1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,44,4.545454545,15.90909091,0,13.63636364,Public/Private,54,Urban,0,5
1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,1907,5.24383849,16.25589932,0.419507079,14.42055585,Local government,350,Urban,0,1
1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,14,2550,1.803921569,17.52941176,2.509803922,9.37254902,Local government,1248,Urban,0,16
1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,19,5.263157895,10.52631579,0,5.263157895,Local government,15,Rural,0,33
1090122,TWP OF UPPER MAKEFIELD,Bucks,Ground water,1800,5,187,3.20855615,12.8342246,1.069518717,3.743315508,Local government,596,Urban,1,3
1090123,BUCKINGHAM TWP FIELDSTONE,Bucks,Ground water,281,6,68,7.352941176,13.23529412,0,5.882352941,Local government,104,Urban,0,5
1090125,MILFORD TWP WATER AUTHORITY,Bucks,Ground water,4498,24,3823,2.014125033,6.094690034,1.621763013,2.851164007,Local government,1186,Urban,0,15
1090127,WARWICK TWP WATER & SEWER AUTH,Bucks,Surface water purchased,11133,21,14408,1.78373126,7.599944475,0.131871183,1.318711827,Local government,2939,Urban,1,2
