PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,14.5,6,Private,9859,Urban,0,0,0
1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,14.5,6,Private,1,Urban,12,4,16
1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,14.5,6,Private,2141,Urban,1,1,2
1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,14.5,6,Private,231,Urban,17,1,18
1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,14.5,6,Local government,7634,Urban,2,2,4
1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,14.5,6,Local government,19617,Urban,7,0,7
1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,14.5,6,Local government,4231,Urban,42,11,53
1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,14.5,6,Public/Private,10226,Urban,4,0,4
1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,14.5,6,Private,16,Urban,34,5,39
1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,14.5,6,Local government,3821,Urban,0,0,0
1090048,RED CLIFF MHP,Bucks,Ground water,30,3,14.5,6,Private,30,Urban,2,1,3
1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,14.5,6,Private,5,Urban,12,0,12
1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,14.5,6,Private,20,Urban,2,0,2
1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,14.5,6,Private,400,Urban,9,0,9
1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,14.5,6,Private,42,Urban,15,0,15
1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,14.5,6,Local government,469,Urban,41,3,44
1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,14.5,6,Local government,402,Urban,22,0,22
1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,14.5,6,Private,51,Urban,4,1,5
1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14.5,6,Local government,5100,Urban,82,3,85
1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,14.5,6,Local government,196,Urban,3,0,3
1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,14.5,6,Local government,9700,Urban,3,0,3
1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,29,14.5,6,Local government,6695,Urban,41,4,45
1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,14.5,6,Private,12167,Urban,2,0,2
1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,14.5,6,Local government,14000,Urban,0,0,0
1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,14.5,6,Local government,15800,Urban,7,3,10
1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,14.5,6,Local government,3069,Urban,10,1,11
1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,14.5,6,Local government,3551,Urban,5,0,5
1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,14.5,6,Public/Private,41,Urban,38,0,38
1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,14.5,6,Local government,10222,Urban,49,0,49
1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,14.5,6,Local government,392,Urban,18,0,18
1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,14.5,6,Public/Private,18,Urban,48,0,48
1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,14.5,6,Public/Private,309,Urban,35,0,35
1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,14.5,6,Public/Private,320,Urban,96,0,96
1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,14.5,6,Local government,60,Urban,25,6,31
1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,14.5,6,Public/Private,72,Urban,36,3,39
1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,14.5,6,Public/Private,49,Urban,41,0,41
1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,14.5,6,Public/Private,64,Urban,93,0,93
1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,14.5,6,Local government,1100,Urban,2,0,2
1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,14.5,6,Public/Private,54,Urban,5,0,5
1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,14.5,6,Local government,350,Urban,1,0,1
1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,12,14.5,6,Local government,1248,Urban,16,0,16
1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,14.5,6,Local government,15,Urban,33,0,33
1090122,TWP OF UPPER MAKEFIELD,Bucks,Ground water,1800,5,14.5,6,Local government,596,Urban,2,1,3
1090123,BUCKINGHAM TWP FIELDSTONE,Bucks,Ground water,281,6,14.5,6,Local government,104,Urban,5,0,5
1090125,MILFORD TWP WATER AUTHORITY,Bucks,Ground water,4498,24,14.5,6,Local government,1186,Urban,15,0,15
1090127,WARWICK TWP WATER & SEWER AUTH,Bucks,Surface water purchased,11133,20,14.5,6,Local government,2939,Urban,1,1,2
1090128,DTMA MAIN SYSTEM,Bucks,Surface water purchased,8655,52,14.5,6,Local government,2029,Urban,7,0,7
1090129,BCWSA SOLEBURY,Bucks,Ground water,2100,7,14.5,6,Local government,474,Urban,5,0,5
1090130,BCWSA NEW HOPE,Bucks,Surface water,3017,14,14.5,6,Local government,3017,Urban,3,0,3
1090131,RICHLAND TWP WATER AUTHORITY,Bucks,Ground water,6800,18,14.5,6,Local government,1922,Urban,84,0,84
1090133,VILLAGE OF BUCKINGHAM SPRINGS,Bucks,Ground water,1295,4,14.5,6,Private,646,Urban,23,0,23
1090135,SCENIC VIEW APARTMENTS,Bucks,Ground water,150,5,14.5,6,Private,50,Urban,3,0,3
1090137,BUCKINGHAM TWP COLD SPRING,Bucks,Ground water,4760,8,14.5,6,Local government,1783,Urban,1,0,1
1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Ground water,714,7,14.5,6,Local government,204,Urban,3,0,3
1090140,HULMEVILLE MUNICIPAL AUTHORITY,Bucks,Surface water purchased,750,3,14.5,6,Local government,283,Urban,4,0,4
1090141,NORTH PENN WATER AUTH E ROCKH,Bucks,Ground water purchased,588,8,14.5,6,Local government,196,Urban,0,0,0
1090144,PLUMSTEAD NORTHERN SYSTEM,Bucks,Ground water,2605,12,14.5,6,Local government,1002,Urban,27,0,27
1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Ground water,1050,4,14.5,6,Local government,125,Urban,5,0,5
1090147,AQUA PA PEDDLERS VIEW,Bucks,Ground water,600,4,14.5,6,Private,214,Urban,0,0,0
1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Ground water purchased,1704,2,14.5,6,Local government,600,Urban,2,0,2
