PWS_ID,PWS_Name,County_Name,Ownership,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1090001,AQUA PA BRISTOL,Bucks,Private Investor Owned,Surface water,28728,17,6.146904574,31.44355571,15.86534236,10.49485805,Private,9859,Urban,0,0,0
1090002,BUCKINGHAM VLY REHAB & NURSING CTR,Bucks,Institutional Health,Ground water,190,9,0,0,0,0,Private,1,Rural,12,4,16
1090005,AQUA PA CHALFONT,Bucks,Private Investor Owned,Ground water,5900,15,3.353057199,8.415516108,1.824457594,2.679158448,Private,2141,Urban,1,1,2
1090007,UMH ARBOR ESTATES,Bucks,Mobile Home Park,Ground water,920,10,2.419354839,4.838709677,0,3.225806452,Private,231,Urban,17,1,18
1090022,FALLS TWP AUTH,Bucks,Authority - (Purchases),Surface water purchased,24400,12,4.632000372,18.7467995,6.494111075,4.999767236,Local government,7634,Urban,2,2,4
1090026,LOWER BUCKS CNTY JT MUNI AUTH,Bucks,Authority,Surface water,63007,12,3.68911645,12.54149553,3.803522197,6.21354489,Local government,19617,Urban,7,0,7
1090037,MORRISVILLE MUNI AUTH WATER FILTRATION PLANT,Bucks,Authority,Surface water,13342,4,3.297881111,32.57482068,14.81573089,10.42954901,Local government,4231,Urban,42,11,53
1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Private Investor Owned,Surface water purchased,33000,20,2.937024547,12.7244922,0.748960866,3.372284527,Public/Private,10226,Urban,4,0,4
1090044,DURHAM QUARTERS APT,Bucks,Apartments,Ground water,25,3,0,0,0,0,Private,16,Rural,34,5,39
1090046,PERKASIE BORO AUTH,Bucks,Authority,Ground water,15000,20,4.35580375,4.4515357,1.124850419,2.313522138,Local government,3821,Urban,0,0,0
1090048,RED CLIFF VILLAGE MHP,Bucks,Mobile Home Park,Ground water,30,3,3.333333333,3.333333333,0,1.666666667,Private,30,Urban,2,1,3
1090050,QUAKER VIEW MHP,Bucks,Mobile Home Park,Ground water,60,4,0,7.407407407,0,3.703703704,Private,20,Rural,2,0,2
1090052,RICHLAND MEADOWS MHP,Bucks,Mobile Home Park,Ground water,750,9,4.06779661,12.54237288,0.677966102,6.101694915,Private,400,Urban,9,0,9
1090053,CHERRY MHP,Bucks,Mobile Home Park,Ground water,62,6,0,16.66666667,0,0,Private,42,Rural,15,0,15
1090057,RICHLANDTOWN WATER DEPT,Bucks,Municipal,Ground water,1450,7,2.312138728,11.56069364,2.89017341,5.780346821,Local government,469,Urban,41,3,44
1090058,RIEGELSVILLE WATER CO,Bucks,Auth Leases Back To Mun,Ground water,980,15,3.680981595,6.310254163,0.175284838,3.330411919,Local government,402,Rural,22,0,22
1090060,GREENTOP PARK INC,Bucks,Mobile Home Park,Ground water,120,7,1.923076923,7.692307692,3.846153846,1.923076923,Private,51,Urban,4,1,5
1090063,UPPER SOUTHAMPTON MUNI AUTH,Bucks,Authority,Surface water purchased,16000,15,2.386570485,5.26528686,0.175284838,1.820265624,Local government,5100,Urban,82,3,85
1090064,SPRINGTOWN WATER AUTH,Bucks,Auth Leases Back To Mun,Ground water,600,10,4.915254237,7.457627119,0,1.694915254,Local government,196,Rural,3,0,3
1090069,WARMINSTER TWP MUNI AUTH,Bucks,Authority,Surface water purchased,40000,65,3.028491136,14.46082095,2.660767138,8.451672696,Local government,9700,Urban,3,0,3
1090070,WARRINGTON TWP,Bucks,Municipal,Surface water purchased,21588,29,4.209994527,17.27360754,1.755567718,5.43089294,Local government,6695,Urban,41,4,45
1090074,PA AMER WATER CO YARDLEY DIST,Bucks,Private Investor Owned,Surface water,34411,15,2.086127679,14.29753717,2.445706458,3.090665221,Private,12167,Urban,2,0,2
1090078,AQUA PA BENSALEM,Bucks,Priv Investr Owned-(Pu),Surface water purchased,44543,11,4.201832749,29.12656499,7.273415264,7.321125973,Local government,14000,Urban,0,0,0
1090079,BCWSA MAIN LOWER SOUTH,Bucks,Authority - (Purchases),Surface water purchased,52621,10,2.974510217,13.57910259,4.661891721,3.263113545,Local government,15800,Urban,7,3,10
