PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,6.413235861,31.44872954,Private,9859,Urban,0,0,0
1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,5.089795378,8.929258211,Private,1,Rural,12,4,16
1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,3.143306177,7.677638445,Private,2141,Urban,1,1,2
1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,2.518248484,3.765411795,Private,231,Urban,17,1,18
1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,4.248050793,16.24466603,Local government,7634,Urban,2,2,4
1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,3.399600368,9.476788787,Local government,19617,Urban,7,0,7
1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,3.417917471,29.08795312,Local government,4231,Urban,42,11,53
1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,3.298404505,13.76309943,Public/Private,10226,Urban,4,0,4
1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,3.216304917,1.486014485,Private,16,Rural,34,5,39
1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,4.753778447,3.869852149,Local government,3821,Urban,0,0,0
1090048,RED CLIFF MHP,Bucks,Ground water,30,3,4.146246274,5.541509134,Private,30,Urban,2,1,3
1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,2.61153409,15.06683803,Private,5,Rural,12,0,12
1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,0.74250828,7.097952416,Private,20,Rural,2,0,2
1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,2.011501308,11.89004098,Private,400,Urban,9,0,9
1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,2.424857984,13.44581977,Private,42,Rural,15,0,15
1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,2.120623791,12.98758188,Local government,469,Urban,41,3,44
1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,3.536302121,5.280145839,Local government,402,Rural,22,0,22
1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,3.223490526,12.84827947,Private,51,Urban,4,1,5
1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,2.338530826,5.971707976,Local government,5100,Urban,82,3,85
1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,3.544710296,0,Local government,196,Rural,3,0,3
1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,2.929830742,13.62330958,Local government,9700,Urban,3,0,3
1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,29,3.733666501,16.34680949,Local government,6695,Urban,41,4,45
1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,2.00637788,14.33962398,Private,12167,Urban,2,0,2
1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,4.04666455,29.06506438,Local government,14000,Urban,0,0,0
1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,2.87877966,14.50506708,Local government,15800,Urban,7,3,10
1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,3.395098194,8.28111204,Local government,3069,Urban,10,1,11
1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,4.680839305,10.25981601,Local government,3551,Urban,5,0,5
1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,2.53799668,11.17380382,Public/Private,41,Urban,38,0,38
1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,1.810734867,8.989393541,Local government,10222,Urban,49,0,49
1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,1.246230529,9.77489679,Local government,392,Urban,18,0,18
1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,1.313255938,5.501403883,Public/Private,18,Urban,48,0,48
1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,2.734634304,3.609198834,Public/Private,309,Urban,35,0,35
1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,2.899547372,2.253134452,Public/Private,320,Urban,96,0,96
1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,5.2137261,10.49714561,Local government,60,Urban,25,6,31
1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,2.421530121,7.004620319,Public/Private,72,Urban,36,3,39
1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,2.432818111,5.820624011,Public/Private,49,Urban,41,0,41
1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,2.044454677,6.632678133,Public/Private,64,Rural,93,0,93
1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,3.035575486,11.95958524,Local government,1100,Urban,2,0,2
1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,3.461226643,12.56345981,Public/Private,54,Urban,5,0,5
1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,4.857881712,16.23082944,Local government,350,Urban,1,0,1
1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,12,1.760325857,12.96277003,Local government,1248,Urban,16,0,16
1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,2.254679754,24.04334641,Local government,15,Rural,33,0,33
1090122,TWP OF UPPER MAKEFIELD,Bucks,Ground water,1800,5,2.768987788,14.81136513,Local government,596,Urban,2,1,3
1090123,BUCKINGHAM TWP FIELDSTONE,Bucks,Ground water,281,6,6.951011482,14.75715922,Local government,104,Urban,5,0,5
1090125,MILFORD TWP WATER AUTHORITY,Bucks,Ground water,4498,24,2.026077731,6.434278883,Local government,1186,Urban,15,0,15
1090127,WARWICK TWP WATER & SEWER AUTH,Bucks,Surface water purchased,11133,20,1.845601579,7.812352891,Local government,2939,Urban,1,1,2
1090128,DTMA MAIN SYSTEM,Bucks,Surface water purchased,8655,52,2.058855229,7.25585796,Local government,2029,Urban,7,0,7
1090129,BCWSA SOLEBURY,Bucks,Ground water,2100,7,1.640916316,8.813860618,Local government,474,Urban,5,0,5
1090130,BCWSA NEW HOPE,Bucks,Surface water,3017,14,4.659610001,6.881384327,Local government,3017,Urban,3,0,3
1090131,RICHLAND TWP WATER AUTHORITY,Bucks,Ground water,6800,18,3.148066566,11.87405858,Local government,1922,Rural,84,0,84
1090133,VILLAGE OF BUCKINGHAM SPRINGS,Bucks,Ground water,1295,4,1.739321752,6.375807633,Private,646,Urban,23,0,23
1090135,SCENIC VIEW APARTMENTS,Bucks,Ground water,150,5,3.544035388,0,Private,50,Rural,3,0,3
1090137,BUCKINGHAM TWP COLD SPRING,Bucks,Ground water,4760,8,4.475563978,12.87885407,Local government,1783,Urban,1,0,1
1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Ground water,714,7,2.290765467,9.437525399,Local government,204,Rural,3,0,3
1090140,HULMEVILLE MUNICIPAL AUTHORITY,Bucks,Surface water purchased,750,3,1.998261694,5.360932448,Local government,283,Urban,4,0,4
1090141,NORTH PENN WATER AUTH E ROCKH,Bucks,Ground water purchased,588,8,5.304240576,9.731220974,Local government,196,Urban,0,0,0
1090144,PLUMSTEAD NORTHERN SYSTEM,Bucks,Ground water,2605,12,1.820621964,4.629821728,Local government,1002,Urban,27,0,27
1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Ground water,1050,4,5.345741873,10.19613317,Local government,125,Urban,5,0,5
1090147,AQUA PA PEDDLERS VIEW,Bucks,Ground water,600,4,1.36717002,3.139573025,Private,214,Urban,0,0,0
1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Ground water purchased,1704,2,3.111757965,4.32943301,Local government,600,Urban,2,0,2
1090150,MEADOW FARMS APTS,Bucks,Ground water,90,6,5.104183496,8.210624434,Private,39,Urban,3,0,3
1090153,PEDDLERS VILLAGE,Bucks,Ground water,960,4,2.771887614,2.150548861,Private,76,Urban,6,0,6
1090157,PLUMSTEAD TWP SUMMER HILL MEAD,Bucks,Ground water,1284,10,3.37065385,5.400294449,Local government,367,Urban,3,0,3
1090159,BUCKINGHAM TWP FURLONG,Bucks,Ground water,3100,18,2.620952718,7.881173662,Local government,169,Urban,4,0,4
1090160,BCWSA FOX RUN PRESERVE,Bucks,Ground water,220,3,1.364587999,6.619914852,Local government,108,Rural,3,0,3
1090163,PENNLAND FARMS,Bucks,Ground water,452,4,2.700125257,11.83645711,Local government,30,Urban,35,0,35
1090164,MILL CREEK RIDGE,Bucks,Ground water,99,4,1.179905543,7.354605579,Local government,73,Rural,21,0,21
1150004,AVONWHEEL ESTATE MHP,Chester,Ground water,300,4,1.804976577,49.95819936,Private,65,Urban,12,1,13
1150005,BOROUGH OF AVONDALE,Chester,Ground water,1108,4,3.484236195,48.95933725,Local government,329,Urban,4,0,4
